"Group","ID","Item","Guidance","Done","Notes"
"OPENSHIFT CONTAINER PLATFORM SECURITY AND COMPLIANCE > SECURITY OVERVIEW","1.1.1","Container security","A good starting point to understanding OpenShift Container Platform security is to review the concepts in Understanding container security . This and subsequent sections provide a high-level walkthrough of the container security measures available in OpenShift Container Platform, including solutions for the host layer, the container and orchestration layer, and the build and application layer. These sections also include information on the following topics: ¶ Why container security is important and how it compares with existing security standards. Which container security measures are provided by the host (RHCOS and RHEL) layer and which are provided by OpenShift Container Platform. How to evaluate your container content and sources for vulnerabilities. How to design your build and deployment process to proactively check container content. How to control access to containers through authentication and authorization. How networking and attached storage are secured in OpenShift Container Platform. Containerized solutions for API management and SSO.","",""
"OPENSHIFT CONTAINER PLATFORM SECURITY AND COMPLIANCE > SECURITY OVERVIEW","1.1.2","Auditing","OpenShift Container Platform auditing provides a security-relevant chronological set of records documenting the sequence of activities that have affected the system by individual users, administrators, or other components of the system. Administrators can configure the audit log policy and view audit logs .","",""
"OPENSHIFT CONTAINER PLATFORM SECURITY AND COMPLIANCE > SECURITY OVERVIEW","1.1.3","Certificates","Certificates are used by various components to validate access to the cluster. Administrators can replace the default ingress certificate, add API server certificates, or add a service certificate . You can also review more details about the types of certificates used by the cluster: ¶ User-provided certificates for the API server Proxy certificates Service CA certificates ¶ Node certificates Bootstrap certificates etcd certificates OLM certificates Aggregated API client certificates Machine Config Operator certificates User-provided certificates for default ingress Ingress certificates Monitoring and cluster logging Operator component certificates Control plane certificates","",""
"OPENSHIFT CONTAINER PLATFORM SECURITY AND COMPLIANCE > SECURITY OVERVIEW","1.1.4","Encrypting data","You can enable etcd encryption for your cluster to provide an additional layer of data security. For example, it can help protect the loss of sensitive data if an etcd backup is exposed to the incorrect parties.","",""
"OPENSHIFT CONTAINER PLATFORM SECURITY AND COMPLIANCE > SECURITY OVERVIEW","1.1.5","Vulnerability scanning","Administrators can use the Red Hat Quay Container Security Operator to run vulnerability scans and review information about detected vulnerabilities.","",""
"OPENSHIFT CONTAINER PLATFORM SECURITY AND COMPLIANCE > COMPLIANCE OVERVIEW","1.2.1","Compliance checking","Administrators can use the Compliance Operator to run compliance scans and recommend remediations for any issues found. The oc-compliance plugin is an OpenShift CLI (oc) plugin that provides a set of utilities to easily interact with the Compliance Operator.","",""
"OPENSHIFT CONTAINER PLATFORM SECURITY AND COMPLIANCE > COMPLIANCE OVERVIEW","1.2.2","File integrity checking","Administrators can use the File Integrity Operator to continually run file integrity checks on cluster nodes and provide a log of files that have been modified.","",""
"OPENSHIFT CONTAINER PLATFORM SECURITY AND COMPLIANCE","1.3","ADDITIONAL RESOURCES","Understanding authentication Configuring the internal OAuth server ¶ Understanding identity provider configuration Using RBAC to define and apply permissions Managing security context constraints","",""
"CONTAINER SECURITY > UNDERSTANDING CONTAINER SECURITY","2.1.1","What are containers?","Containers package applications and their dependencies into single, portable images that you can use for consistent deployment across development, test, and production environments. ¶ The image can be promoted from development, to test, to production, without change. A container might be part of a larger application that works closely with other containers. ¶ Containers provide consistency across environments and multiple deployment targets: physical servers, virtual machines (VMs), and private or public cloud. ¶ Some of the benefits of using containers include: ¶ Infrastructure Applications Sandboxed application processes on a shared Linux Package my application and all of its dependencies operating system kernel Simpler, lighter, and denser than virtual machines Deploy to any environment in seconds and enable CI/CD Portable across different environments Easily access and share containerized components ¶ Understanding Linux containers ¶ Building, running, and managing containers","",""
"CONTAINER SECURITY > UNDERSTANDING CONTAINER SECURITY","2.1.2","What is OpenShift Container Platform?","You can use OpenShift Container Platform to automate the deployment, operation, and management of containerized applications. OpenShift Container Platform uses Kubernetes as its orchestration engine, enhanced with Red Hat security, support, and enterprise features. ¶ Automating how containerized applications are deployed, run, and managed is the job of a platform such as OpenShift Container Platform. At its core, OpenShift Container Platform relies on the Kubernetes project to provide the engine for orchestrating containers across many nodes in scalable data centers. ¶ Kubernetes is a project, which can run using different operating systems and add-on components that offer no guarantees of supportability from the project. As a result, the security of different Kubernetes platforms can vary. ¶ OpenShift Container Platform is designed to lock down Kubernetes security and integrate the platform with a variety of extended components. To do this, OpenShift Container Platform draws on the extensive Red Hat ecosystem of open source technologies that include the operating systems, authentication, storage, networking, development tools, base container images, and many other components. ¶ OpenShift Container Platform can use Red Hat's experience in uncovering and rapidly deploying fixes for vulnerabilities in the platform itself and the containerized applications running on the platform. Red Hat's experience also extends to efficiently integrating new components with OpenShift Container Platform as they become available and adapting technologies to individual customer needs. ¶ Configuring periodic importing of imagestreamtags ¶ OpenShift Container Platform architecture ¶ OpenShift Security Guide","",""
